t,f0_stdv,vcd2tot_frames,f0_mean,f0_max,seconds,eng_stdv,eng_max,eng_min,eng_mean,f0_min,f0_median
0,74.748,0.783,720.045,821.891,0.2,0.28,56.833,55.731,56.093,605.748,734.687
0.1,38.871,0.217,645.5,671.718,0.2,0.317,57.32,56.149,56.713,577.448,657.411
0.2,129.001,0.348,572.476,717.205,0.2,0.71,57.552,55.373,56.512,278.848,587.853
0.30000000000000004,6.193,0.652,264.007,280.172,0.2,3.372,67.587,55.677,60.221,259.016,261.893
0.4,9.485,1.0,267.252,289.15,0.2,1.882,67.886,61.506,63.834,257.442,263.427
0.5,11.711,1.0,286.392,298.583,0.2,0.929,63.639,60.103,62.741,259.522,290.06
0.6,16.902,1.0,279.283,298.517,0.2,1.3,63.525,59.137,61.149,245.806,283.509
0.7,21.612,1.0,240.378,278.907,0.2,0.872,61.721,59.113,60.364,210.106,238.738
0.7999999999999999,149.411,0.565,283.744,620.508,0.2,1.797,61.306,55.786,58.096,212.559,221.011
0.8999999999999999,138.041,0.739,254.623,620.444,0.2,1.717,60.734,55.83,58.992,192.647,205.48
0.9999999999999999,7.147,0.739,194.957,207.144,0.2,1.194,60.726,57.553,59.13,183.354,195.093
1.0999999999999999,5.663,0.522,185.588,201.466,0.2,1.271,58.553,55.03,57.304,181.283,183.335
1.2,231.082,0.261,393.026,619.861,0.2,0.695,57.168,54.972,56.428,181.069,388.426
1.3,32.122,0.304,747.543,772.624,0.2,0.138,57.101,56.622,56.869,691.202,758.013
1.4000000000000001,290.491,0.478,495.064,830.931,0.2,0.671,58.429,55.938,56.828,235.661,266.839
1.5000000000000002,15.196,0.826,252.673,278.767,0.2,1.59,61.844,56.06,59.156,235.584,249.733
1.6000000000000003,13.701,1.0,278.487,299.798,0.2,0.889,61.625,58.174,59.68,247.577,283.865
1.7000000000000004,7.766,1.0,296.863,305.889,0.2,0.274,59.019,58.0,58.588,284.788,297.663
1.8000000000000005,4.85,0.391,301.932,305.879,0.2,0.787,58.787,56.366,57.453,292.929,304.391
1.9000000000000006,12.922,0.522,224.755,254.695,0.2,1.572,60.109,55.902,58.175,209.997,220.952
2.0000000000000004,10.614,1.0,208.939,231.125,0.2,0.712,60.098,57.842,58.913,192.872,207.163
2.1000000000000005,7.72,1.0,191.952,202.935,0.2,0.457,58.816,57.46,58.202,180.341,193.0
2.2000000000000006,4.712,1.0,179.648,190.877,0.2,0.212,57.922,57.183,57.463,173.226,178.939
2.3000000000000007,2.46,0.913,174.553,181.631,0.2,1.006,57.86,54.226,56.598,171.119,174.988
2.400000000000001,3.636,0.348,174.948,182.708,0.2,0.688,56.255,53.889,55.072,171.142,174.493
2.500000000000001,321.821,0.261,412.939,833.966,0.2,0.464,57.04,55.392,55.9,197.351,212.603
2.600000000000001,6.219,0.609,196.479,215.3,0.2,1.003,59.234,55.099,57.082,189.705,195.866
2.700000000000001,6.309,0.609,200.558,209.483,0.2,2.168,63.651,55.308,58.269,190.182,203.123
2.800000000000001,157.351,0.739,258.841,678.455,0.2,1.209,59.792,56.444,58.118,191.194,203.282
2.9000000000000012,27.893,0.696,231.103,290.906,0.2,1.065,59.864,56.366,57.632,191.649,241.201
3.0000000000000013,51.901,1.0,174.646,248.855,0.2,0.539,58.264,56.34,57.81,122.249,140.766
3.1000000000000014,48.716,1.0,210.281,286.267,0.2,0.885,60.085,57.397,58.62,119.677,220.172
3.2000000000000015,16.05,1.0,204.103,241.909,0.2,1.431,59.19,54.107,56.732,174.157,202.079
3.3000000000000016,209.96,0.652,271.952,794.518,0.2,0.812,57.509,54.215,56.187,176.578,194.286
3.4000000000000017,1.818,0.522,208.592,213.431,0.2,0.729,58.24,55.939,57.374,205.939,208.41
3.5000000000000018,4.727,1.0,209.499,225.411,0.2,0.486,58.095,56.551,57.496,201.53,208.259
3.600000000000002,5.79,1.0,206.658,225.203,0.2,0.597,59.067,56.872,58.147,200.219,205.07
3.700000000000002,4.648,0.565,203.133,217.58,0.2,2.596,58.998,50.532,56.219,199.213,201.934
3.800000000000002,13.047,0.609,192.134,221.03,0.2,0.385,57.749,56.361,56.93,173.788,190.336
3.900000000000002,9.327,0.609,189.113,211.829,0.2,0.363,57.534,56.306,56.987,174.699,189.976
4.000000000000002,7.893,0.652,183.953,196.125,0.2,0.367,57.792,56.612,57.305,174.811,180.408
4.100000000000001,4.18,1.0,176.043,191.597,0.2,0.596,58.084,56.231,57.383,173.076,174.733
4.200000000000001,267.512,0.826,360.896,791.926,0.2,1.032,57.357,53.863,56.21,173.035,174.689
4.300000000000001,128.209,0.391,720.52,844.535,0.2,0.21,57.414,56.675,57.071,493.941,767.896
4.4,2.657,0.565,207.907,213.105,0.2,0.728,59.375,57.064,57.942,204.86,207.187
4.5,2.502,1.0,205.053,210.316,0.2,0.624,59.027,56.961,58.035,201.221,205.21
4.6,5.535,1.0,206.735,218.29,0.2,0.788,60.794,58.318,59.04,201.111,204.111
4.699999999999999,24.622,1.0,231.661,295.666,0.2,1.985,61.266,55.017,59.488,205.573,224.768
4.799999999999999,22.652,0.609,260.289,300.867,0.2,1.193,59.273,54.771,56.212,231.986,258.324
4.899999999999999,236.494,0.522,375.614,811.364,0.2,0.738,58.611,56.386,57.306,201.671,254.544
4.999999999999998,12.962,0.783,204.163,242.711,0.2,0.823,59.599,56.75,58.313,192.07,199.337
5.099999999999998,4.432,1.0,200.461,211.646,0.2,0.34,58.091,56.803,57.711,192.192,199.162
5.1999999999999975,5.852,0.87,206.233,218.595,0.2,0.836,59.066,56.253,57.744,198.565,204.182
5.299999999999997,7.812,0.478,207.345,218.403,0.2,2.302,63.893,55.183,58.377,193.761,208.149
5.399999999999997,5.287,0.174,203.692,211.464,0.2,2.41,63.935,53.867,57.285,199.94,201.682
5.4999999999999964,264.217,0.391,378.661,755.337,0.2,1.125,58.192,53.646,57.233,187.613,212.774
5.599999999999996,13.228,0.826,185.454,226.319,0.2,0.394,58.258,56.917,57.74,172.66,180.239
5.699999999999996,242.686,0.696,288.299,794.512,0.2,0.691,57.976,55.998,57.101,165.876,177.668
5.799999999999995,248.14,0.435,300.385,773.884,0.2,1.83,60.944,54.777,57.276,171.377,180.48
5.899999999999995,16.457,0.609,194.081,218.613,0.2,1.821,61.029,54.844,58.223,171.611,195.25
5.999999999999995,16.887,1.0,219.596,238.192,0.2,1.179,59.581,55.474,58.07,185.365,226.482
6.099999999999994,51.103,0.696,205.135,238.471,0.2,1.057,58.403,54.86,56.623,118.746,231.017
6.199999999999994,180.943,0.913,310.908,692.454,0.2,1.369,59.249,54.282,57.335,211.591,227.357
6.299999999999994,4.445,1.0,217.056,224.627,0.2,1.56,59.766,54.259,57.693,209.188,216.979
6.399999999999993,5.902,1.0,223.973,230.281,0.2,0.627,59.902,57.774,59.396,210.143,225.645
6.499999999999993,95.94,0.826,259.616,555.084,0.2,1.423,59.836,54.956,57.944,216.507,229.416
6.5999999999999925,110.558,0.739,244.205,552.046,0.2,1.851,59.971,54.37,57.688,187.083,205.762
6.699999999999992,11.773,1.0,185.16,208.473,0.2,0.551,59.567,57.556,58.215,163.449,185.06
6.799999999999992,215.118,0.565,261.901,747.567,0.2,1.479,58.738,53.966,56.633,163.159,178.295
6.8999999999999915,21.55,0.217,720.117,756.814,0.2,0.428,56.675,55.181,55.843,702.284,715.356
6.999999999999991,4.109,0.478,172.495,178.111,0.2,1.218,56.85,52.889,55.697,167.196,173.522
7.099999999999991,294.984,0.522,547.886,827.042,0.2,0.829,55.482,52.86,54.587,168.074,631.531
7.19999999999999,70.591,0.913,704.496,833.551,0.2,0.707,57.165,55.034,56.128,562.05,686.545
7.29999999999999,47.345,1.0,661.657,705.918,0.2,0.186,57.153,56.492,56.85,500.699,671.362
7.39999999999999,43.395,0.739,680.099,793.93,0.2,0.353,56.854,55.679,56.26,641.628,665.783
7.499999999999989,4.35,0.13,651.069,656.003,0.2,1.174,58.079,52.469,56.082,647.679,649.553
